epoch,qwk,accuracy,macro_f1,sdr,retention,ur_acc,ece,val_loss,train_loss
0,0.01980198019801993,0.2894736842105263,0.1929032258064516,0.0,1.0,0.2894736842105263,0.1778302788734436,0.0,1.3653496702512105
1,0.14141414141414144,0.3684210526315789,0.29721293199554066,0.0,1.0,0.3684210526315789,0.2481583058834076,0.0,1.3399115602175395
2,0.23300970873786386,0.39473684210526316,0.3018640350877193,0.0,1.0,0.39473684210526316,0.26619571447372437,0.0,1.3230285545190175
3,0.22935779816513768,0.39473684210526316,0.3227654698242934,0.1,1.0,0.39473684210526316,0.2482670686746898,0.0,1.2512308657169342
4,0.49523809523809526,0.5,0.46190476190476193,0.4,1.0,0.5,0.3482508282912405,0.0,1.2417517602443695
5,0.6635514018691588,0.5263157894736842,0.4864809081527348,0.5,1.0,0.5263157894736842,0.37994048469945,0.0,1.3022732337315877
6,0.4854368932038835,0.42105263157894735,0.4007554945054945,0.5,1.0,0.42105263157894735,0.2773527267732118,0.0,1.2224137981732686
7,0.595959595959596,0.47368421052631576,0.43695054945054945,0.3,1.0,0.47368421052631576,0.3188726627512982,0.0,1.248670796553294
8,0.5575221238938054,0.5789473684210527,0.5468167701863353,0.7,1.0,0.5789473684210527,0.4243215204853761,0.0,1.2428199003140132
9,0.5268817204301075,0.4473684210526316,0.43777089783281736,0.2,1.0,0.4473684210526316,0.29920254569304616,0.0,1.1996752520402272
10,0.5675675675675675,0.5526315789473685,0.5205128205128206,0.8,1.0,0.5526315789473685,0.39012538759331955,0.0,1.1416007230679195
11,0.7064220183486238,0.5526315789473685,0.4954545454545455,0.7,1.0,0.5526315789473685,0.3695752455999976,0.0,1.1639692584673564
12,0.504950495049505,0.5,0.46016021016021014,0.3,1.0,0.5,0.3020225347656953,0.0,1.1186510821183522
13,0.39495798319327724,0.4473684210526316,0.3611111111111111,0.4,1.0,0.4473684210526316,0.2640576441037027,0.0,1.178898294766744
14,0.7652173913043478,0.6052631578947368,0.5509963768115942,0.8,1.0,0.6052631578947368,0.4193167796260432,0.0,1.1542604317267735
15,0.7350427350427351,0.5789473684210527,0.5212374581939799,0.8,1.0,0.5789473684210527,0.40549594163894653,0.0,1.14636991918087
16,0.7706422018348624,0.5789473684210527,0.49444758140410316,0.8,1.0,0.5789473684210527,0.3845171316673881,0.0,1.0747104237476985
17,0.5963302752293578,0.5263157894736842,0.5048732943469786,0.8,1.0,0.5263157894736842,0.35183599199119364,0.0,1.0137248486280441
18,0.4271844660194173,0.47368421052631576,0.4450155822438431,0.7,1.0,0.47368421052631576,0.2932130827715522,0.0,1.1289424846569698
19,0.5206611570247934,0.5263157894736842,0.48340548340548334,0.9,1.0,0.5263157894736842,0.3423769756367332,0.0,1.080569585164388
20,0.654867256637168,0.5789473684210527,0.5320861204013378,0.8,1.0,0.5789473684210527,0.3459951046266054,0.0,0.9968966593345007
21,0.7326732673267327,0.6052631578947368,0.5871083959899749,0.6,1.0,0.6052631578947368,0.39294491708278656,0.0,1.0398065050443013
22,0.7435897435897436,0.6052631578947368,0.533937728937729,0.9,1.0,0.6052631578947368,0.36440249806956243,0.0,0.9288424253463745
23,0.6504854368932038,0.5263157894736842,0.5208333333333333,0.6,1.0,0.5263157894736842,0.3133096765530736,0.0,0.9895068307717642
24,0.6756756756756757,0.6052631578947368,0.5598060762766646,0.8,1.0,0.6052631578947368,0.3647571437452969,0.0,1.0061067640781403
25,0.7102803738317757,0.5789473684210527,0.5479500891265597,0.6,1.0,0.5789473684210527,0.32656782394961303,0.0,1.0132176826397579
26,0.7798165137614679,0.6052631578947368,0.5747023809523809,0.8,1.0,0.6052631578947368,0.3570019759629902,0.0,0.9254115720589956
27,0.7522935779816513,0.6052631578947368,0.5554545454545454,0.8,1.0,0.6052631578947368,0.33716918998642975,0.0,0.8728404939174652
28,0.23853211009174302,0.5,0.48560503823661716,0.4,0.7894736842105263,0.6333333333333333,0.319630282489877,0.0,0.9124731123447418
29,0.2831858407079646,0.4473684210526316,0.4216534690799396,0.4,0.5526315789473685,0.5714285714285714,0.19600642590146317,0.0,nan
30,0.21100917431192656,0.47368421052631576,0.45817676097848514,0.3,0.6052631578947368,0.6086956521739131,0.23608676383369848,0.0,nan
31,0.21238938053097345,0.4473684210526316,0.4341346153846154,0.3,0.5,0.631578947368421,0.20289566328651026,0.0,nan
32,0.1428571428571428,0.39473684210526316,0.3496148459383754,0.2,0.4473684210526316,0.5294117647058824,0.13758506900385806,0.0,nan
33,0.15652173913043477,0.4473684210526316,0.41916612798965747,0.2,0.4473684210526316,0.6470588235294118,0.18895636263646579,0.0,nan
34,0.1428571428571428,0.39473684210526316,0.3496148459383754,0.2,0.4473684210526316,0.5294117647058824,0.1371567798288245,0.0,nan
35,0.1428571428571428,0.39473684210526316,0.3496148459383754,0.2,0.4473684210526316,0.5294117647058824,0.1369718030879372,0.0,nan
36,0.23931623931623924,0.4473684210526316,0.4134469696969697,0.3,0.47368421052631576,0.6111111111111112,0.1851559171551152,0.0,nan
37,0.2184873949579832,0.42105263157894735,0.3793608352431882,0.3,0.47368421052631576,0.5555555555555556,0.15912740873663048,0.0,nan
38,0.1428571428571428,0.39473684210526316,0.3496148459383754,0.2,0.4473684210526316,0.5294117647058824,0.13728991072428853,0.0,nan
39,0.18181818181818188,0.39473684210526316,0.3513278388278388,0.2,0.42105263157894735,0.5625,0.1424753979632729,0.0,nan
